season_year,player_name,position,team_name,honor_scope,honor_name,selector,placement,source_name,source_url
2025,LaNorris Sellers,QB,South Carolina,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Quintrevion Wisner,RB,Texas,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Ryan Williams,WR,Alabama,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Eli Stowers,TE,Vanderbilt,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Kadyn Proctor,OL,Alabama,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Keldric Faulk,DL,Auburn,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,KJ Bolden,DB,,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,CJ Allen,LB,Georgia,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Peyton Woodring,K,Georgia,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Brett Thorson,P,,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Beau Gardner,LS,,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Garrett Nussmeier,QB,LSU,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Jaydn Ott,RB,Oklahoma,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Aaron Anderson,WR,,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Oscar Delp,TE,Georgia,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Ar'maj Reed-Adams,OL,Texas A&M,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Caleb Banks,DL,Florida,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Deontae Lawson,LB,Alabama,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Malik Muhammad,DB,Texas,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Trey Smack,K,Florida,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Jack Bouwmeester,P,Texas,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Rocco Underwood,LS,Florida,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Zavion Thomas,AP,,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Arch Manning,QB,Texas,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Nate Frazier,RB,Georgia,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Eric Singleton Jr.,WR,Auburn,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Jack Endries,TE,Texas,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Earnest Greene III,OL,Georgia,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Tyreak Sapp,DL,Florida,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Taurean York,LB,Texas A&M,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
2025,Keon Sabb,DB,Alabama,all_conference,All-SEC,SEC,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Southeastern_Conference_football_season
